model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize,car_age,usage_category,price_tier,annual_mileage,liquidity_score,as_bargin
 X1,2017,17800,Automatic,31238,Diesel,145,55.4,2.0,9,Высокое использование,Средний класс,3470.9,68.0,False
 3 Series,2015,13100,Manual,37204,Diesel,30,64.2,2.0,11,Высокое использование,Бюджетные,3382.2,61.0,False
 1 Series,2017,11400,Manual,26265,Diesel,0,83.1,1.5,9,Высокое использование,Бюджетные,2918.3,68.8,True
 3 Series,2016,14800,Automatic,38838,Diesel,125,57.6,2.0,10,Высокое использование,Бюджетные,3883.8,63.8,False
 X3,2016,15900,Automatic,59692,Diesel,145,54.3,2.0,10,Высокое использование,Средний класс,5969.2,60.4,True
 3 Series,2016,16300,Automatic,34623,Diesel,125,57.6,2.0,10,Высокое использование,Средний класс,3462.3,64.5,False
 3 Series,2017,14800,Manual,29968,Diesel,30,64.2,2.0,9,Высокое использование,Бюджетные,3329.8,68.2,True
 3 Series,2017,19700,Automatic,27748,Diesel,200,49.6,3.0,9,Высокое использование,Средний класс,3083.1,68.6,False
 3 Series,2015,14450,Automatic,47288,Diesel,30,62.8,2.0,11,Высокое использование,Бюджетные,4298.9,59.4,False
 5 Series,2016,13500,Automatic,64117,Diesel,30,65.7,2.0,10,Высокое использование,Бюджетные,6411.7,59.7,False
 5 Series,2015,10900,Automatic,79563,Diesel,125,60.1,2.0,11,Высокое использование,Бюджетные,7233.0,54.3,True
 3 Series,2016,12200,Manual,34842,Diesel,30,67.3,2.0,10,Высокое использование,Бюджетные,3484.2,64.4,True
 2 Series,2016,10600,Manual,24313,Diesel,0,74.3,1.5,10,Высокое использование,Бюджетные,2431.3,66.1,True
 2 Series,2015,9100,Manual,40789,Diesel,0,74.3,1.5,11,Высокое использование,Бюджетные,3708.1,60.5,True
 3 Series,2017,12600,Automatic,66743,Diesel,30,67.3,2.0,9,Высокое использование,Бюджетные,7415.9,62.3,True
 5 Series,2016,13600,Automatic,65612,Diesel,30,62.8,2.0,10,Высокое использование,Бюджетные,6561.2,59.5,False
 1 Series,2016,11700,Manual,21390,Diesel,20,72.4,1.5,10,Высокое использование,Бюджетные,2139.0,66.6,False
 3 Series,2017,12450,Automatic,72065,Diesel,20,70.6,2.0,9,Высокое использование,Бюджетные,8007.2,61.5,True
 5 Series,2016,13500,Automatic,62444,Diesel,125,60.1,2.0,10,Высокое использование,Бюджетные,6244.4,60.0,False
 X3,2013,12750,Automatic,71558,Diesel,160,50.4,2.0,13,Высокое использование,Бюджетные,5504.5,49.6,False
 X1,2017,16700,Automatic,34666,Diesel,145,65.7,2.0,9,Высокое использование,Средний класс,3851.8,67.5,False
 1 Series,2016,11400,Manual,22920,Diesel,20,72.4,1.5,10,Высокое использование,Бюджетные,2292.0,66.3,False
 X5,2016,21000,Automatic,71626,Other,0,85.6,2.0,10,Высокое использование,Премиум,7162.6,58.5,True
 X1,2017,14700,Manual,38405,Diesel,145,68.9,2.0,9,Высокое использование,Бюджетные,4267.2,66.9,True
 3 Series,2018,19000,Automatic,20681,Diesel,145,64.2,2.0,8,Высокое использование,Средний класс,2585.1,72.7,False
 3 Series,2017,15400,Automatic,20529,Diesel,145,65.7,2.0,9,Высокое использование,Средний класс,2281.0,69.7,False
 X3,2016,19000,Automatic,42691,Diesel,145,54.3,2.0,10,Высокое использование,Средний класс,4269.1,63.2,False
 1 Series,2018,15000,Automatic,10058,Petrol,145,37.2,1.5,8,Высокое использование,Средний класс,1257.2,74.4,False
 3 Series,2016,17950,Automatic,40337,Diesel,145,53.3,3.0,10,Высокое использование,Средний класс,4033.7,63.5,False
 5 Series,2018,22600,Automatic,23195,Diesel,145,65.7,2.0,8,Высокое использование,Премиум,2899.4,72.3,False
 1 Series,2017,13200,Manual,17117,Petrol,145,53.3,1.5,9,Высокое использование,Бюджетные,1901.9,70.3,False
 3 Series,2017,12750,Manual,22153,Diesel,150,68.9,2.0,9,Высокое использование,Бюджетные,2461.4,69.5,True
 3 Series,2015,9750,Manual,56038,Diesel,20,68.9,2.0,11,Высокое использование,Бюджетные,5094.4,58.0,True
 3 Series,2017,10900,Automatic,78345,Diesel,0,74.3,2.0,9,Высокое использование,Бюджетные,8705.0,60.5,True
 X4,2016,21400,Automatic,31084,Diesel,145,54.3,2.0,10,Высокое использование,Премиум,3108.4,65.0,False
 1 Series,2017,14600,Automatic,5615,Petrol,145,58.9,1.5,9,Высокое использование,Бюджетные,623.9,72.1,False
 3 Series,2017,12600,Automatic,55751,Petrol,150,51.4,1.5,9,Высокое использование,Бюджетные,6194.6,64.1,True
 X4,2017,22500,Automatic,35016,Diesel,150,54.3,2.0,9,Высокое использование,Премиум,3890.7,67.4,False
 1 Series,2016,8000,Manual,81579,Diesel,0,83.1,1.5,10,Высокое использование,Бюджетные,8157.9,56.9,True
 X1,2017,14800,Manual,31518,Diesel,145,60.1,2.0,9,Высокое использование,Бюджетные,3502.0,68.0,True
 1 Series,2016,9900,Manual,44008,Diesel,0,83.1,1.5,10,Высокое использование,Бюджетные,4400.8,63.0,True
 2 Series,2016,9500,Manual,59509,Diesel,20,68.9,2.0,10,Высокое использование,Бюджетные,5950.9,60.5,True
 3 Series,2017,17950,Automatic,43703,Other,140,134.5,2.0,9,Высокое использование,Средний класс,4855.9,66.0,False
 1 Series,2016,14200,Automatic,36858,Diesel,125,60.1,2.0,10,Высокое использование,Бюджетные,3685.8,64.1,False
 1 Series,2016,12100,Automatic,25786,Diesel,0,74.3,2.0,10,Высокое использование,Бюджетные,2578.6,65.9,False
 1 Series,2016,12700,Automatic,24592,Diesel,20,68.9,2.0,10,Высокое использование,Бюджетные,2459.2,66.1,False
 1 Series,2016,8800,Manual,51002,Diesel,0,83.1,1.5,10,Высокое использование,Бюджетные,5100.2,61.8,True
 1 Series,2017,15000,Automatic,26052,Diesel,145,68.9,2.0,9,Высокое использование,Средний класс,2894.7,68.8,False
 3 Series,2017,17100,Automatic,31528,Diesel,145,64.2,2.0,9,Высокое использование,Средний класс,3503.1,68.0,False
 X3,2017,21750,Automatic,25776,Diesel,200,47.9,3.0,9,Высокое использование,Премиум,2864.0,68.9,False
 1 Series,2016,13400,Manual,18055,Petrol,125,52.3,1.5,10,Высокое использование,Бюджетные,1805.5,67.1,False
 3 Series,2014,9900,Automatic,63223,Diesel,20,68.9,2.0,12,Высокое использование,Бюджетные,5268.6,53.9,True
 1 Series,2016,13700,Manual,8719,Petrol,125,52.3,1.5,10,Высокое использование,Бюджетные,871.9,68.6,False
 4 Series,2018,16900,Automatic,27133,Petrol,145,44.8,2.0,8,Высокое использование,Средний класс,3391.6,71.7,True
 5 Series,2018,21950,Automatic,21947,Diesel,150,68.9,2.0,8,Высокое использование,Премиум,2743.4,72.5,True
 X1,2013,8750,Manual,80625,Diesel,160,51.4,2.0,13,Высокое использование,Бюджетные,6201.9,48.1,False
 3 Series,2017,17000,Automatic,31501,Other,0,134.5,2.0,9,Высокое использование,Средний класс,3500.1,68.0,False
 1 Series,2016,13750,Automatic,8707,Petrol,30,55.5,1.5,10,Высокое использование,Бюджетные,870.7,68.6,False
 1 Series,2017,12800,Manual,10861,Petrol,125,53.3,1.5,9,Высокое использование,Бюджетные,1206.8,71.3,True
 4 Series,2017,16000,Manual,16359,Petrol,145,46.3,2.0,9,Высокое использование,Средний класс,1817.7,70.4,True
 4 Series,2017,16600,Automatic,46913,Diesel,145,65.7,2.0,9,Высокое использование,Средний класс,5212.6,65.5,False
 3 Series,2017,15100,Manual,37747,Diesel,125,60.1,2.0,9,Высокое использование,Средний класс,4194.1,67.0,True
 4 Series,2017,16750,Manual,24882,Petrol,145,46.3,2.0,9,Высокое использование,Средний класс,2764.7,69.0,False
 1 Series,2015,12450,Manual,24474,Petrol,125,52.3,1.5,11,Высокое использование,Бюджетные,2224.9,63.1,False
 3 Series,2018,15700,Automatic,29394,Petrol,145,48.7,2.0,8,Высокое использование,Средний класс,3674.2,71.3,True
 5 Series,2016,12600,Manual,59528,Diesel,125,60.1,2.0,10,Высокое использование,Бюджетные,5952.8,60.5,True
 2 Series,2016,14600,Manual,15577,Petrol,160,44.1,2.0,10,Высокое использование,Бюджетные,1557.7,67.5,False
 X1,2016,13700,Manual,52226,Diesel,20,68.9,2.0,10,Высокое использование,Бюджетные,5222.6,61.6,True
 3 Series,2017,16900,Automatic,12330,Diesel,30,64.2,2.0,9,Высокое использование,Средний класс,1370.0,71.0,False
 4 Series,2015,15998,Semi-Auto,62943,Diesel,30,65.7,2.0,11,Высокое использование,Средний класс,5722.1,56.9,False
 X1,2020,31498,Semi-Auto,1560,Diesel,145,60.1,2.0,6,В хорошем состоянии,Люкс,260.0,81.8,False
 2 Series,2020,27998,Manual,1580,Petrol,150,43.5,1.5,6,В хорошем состоянии,Люкс,263.3,81.7,False
 X5,2020,54998,Semi-Auto,1500,Diesel,150,37.7,3.0,6,В хорошем состоянии,Люкс,250.0,81.8,False
 3 Series,2014,11998,Manual,11545,Petrol,165,44.8,2.0,12,Высокое использование,Бюджетные,962.1,62.2,False
 2 Series,2020,25998,Automatic,3160,Hybrid,140,113.0,1.5,6,В хорошем состоянии,Премиум,526.7,81.5,False
 1 Series,2020,31998,Semi-Auto,1560,Diesel,150,48.7,2.0,6,В хорошем состоянии,Люкс,260.0,81.8,False
 X2,2020,29998,Manual,1850,Diesel,150,49.6,2.0,6,В хорошем состоянии,Люкс,308.3,81.7,False
 X4,2019,33998,Semi-Auto,7272,Diesel,150,42.8,2.0,7,В хорошем состоянии,Люкс,1038.9,77.8,False
 1 Series,2017,14995,Manual,19866,Diesel,30,65.7,2.0,9,Высокое использование,Средний класс,2207.3,69.8,False
 4 Series,2016,17995,Semi-Auto,22476,Petrol,145,48.7,2.0,10,Высокое использование,Средний класс,2247.6,66.4,False
 1 Series,2013,14498,Semi-Auto,42786,Petrol,235,37.7,3.0,13,Высокое использование,Бюджетные,3291.2,54.2,False
 1 Series,2015,10998,Manual,42410,Diesel,30,65.7,2.0,11,Высокое использование,Бюджетные,3855.5,60.2,False
 5 Series,2014,11998,Semi-Auto,60681,Diesel,125,57.6,2.0,12,Высокое использование,Бюджетные,5056.8,54.3,False
 X1,2016,14498,Manual,57717,Diesel,125,58.9,2.0,10,Высокое использование,Бюджетные,5771.7,60.8,True
 3 Series,2017,16998,Semi-Auto,8096,Petrol,145,51.4,2.0,9,Высокое использование,Средний класс,899.6,71.7,False
 1 Series,2015,11498,Manual,49151,Diesel,30,62.8,2.0,11,Высокое использование,Бюджетные,4468.3,59.1,False
 X6,2017,29498,Semi-Auto,40429,Diesel,200,47.1,3.0,9,Высокое использование,Люкс,4492.1,66.5,False
 M4,2016,31498,Semi-Auto,21107,Petrol,300,34.0,3.0,10,Высокое использование,Люкс,2110.7,66.6,False
 1 Series,2016,19498,Semi-Auto,33043,Petrol,200,39.8,3.0,10,Высокое использование,Средний класс,3304.3,64.7,False
 X1,2016,17998,Semi-Auto,50378,Diesel,125,57.6,2.0,10,Высокое использование,Средний класс,5037.8,61.9,False
 5 Series,2019,25998,Semi-Auto,11115,Diesel,145,65.7,2.0,7,В хорошем состоянии,Премиум,1587.9,77.2,False
 X1,2013,8298,Manual,69020,Diesel,125,57.6,2.0,13,Высокое использование,Бюджетные,5309.2,50.0,False
 8 Series,2019,61898,Semi-Auto,2650,Diesel,145,39.8,3.0,7,В хорошем состоянии,Люкс,378.6,78.6,False
 1 Series,2014,13298,Manual,55834,Petrol,300,35.3,3.0,12,Высокое использование,Бюджетные,4652.8,55.1,False
 3 Series,2019,21898,Semi-Auto,5761,Diesel,150,55.4,2.0,7,В хорошем состоянии,Премиум,823.0,78.1,True
 1 Series,2017,11498,Semi-Auto,47110,Diesel,0,78.5,1.5,9,Высокое использование,Бюджетные,5234.4,65.5,True
 X3,2014,17495,Semi-Auto,54075,Diesel,145,54.3,2.0,12,Высокое использование,Средний класс,4506.2,55.3,False
 5 Series,2015,14998,Semi-Auto,45152,Diesel,30,62.8,2.0,11,Высокое использование,Средний класс,4104.7,59.8,False
 2 Series,2014,10498,Manual,52091,Diesel,125,58.9,2.0,12,Высокое использование,Бюджетные,4340.9,55.7,False
 1 Series,2019,19998,Semi-Auto,4812,Petrol,145,47.9,2.0,7,В хорошем состоянии,Средний класс,687.4,78.2,False
 X1,2016,16698,Semi-Auto,37272,Petrol,160,44.8,2.0,10,Высокое использование,Средний класс,3727.2,64.0,False
 3 Series,2019,27998,Semi-Auto,4250,Diesel,145,48.7,2.0,7,В хорошем состоянии,Люкс,607.1,78.3,False
 5 Series,2018,27798,Semi-Auto,15711,Diesel,145,60.1,3.0,8,Высокое использование,Премиум,1963.9,73.5,False
 1 Series,2016,18298,Manual,21236,Petrol,260,36.2,3.0,10,Высокое использование,Средний класс,2123.6,66.6,False
 1 Series,2017,14698,Semi-Auto,24008,Petrol,145,55.5,1.5,9,Высокое использование,Бюджетные,2667.6,69.2,False
 X1,2016,18498,Semi-Auto,25994,Diesel,145,55.4,2.0,10,Высокое использование,Средний класс,2599.4,65.8,False
 X5,2015,27998,Automatic,24188,Diesel,200,47.1,3.0,11,Высокое использование,Люкс,2198.9,63.1,False
 X5,2015,21498,Automatic,59216,Diesel,200,47.9,3.0,11,Высокое использование,Премиум,5383.3,57.5,False
 1 Series,2017,19498,Manual,21171,Petrol,260,36.2,3.0,9,Высокое использование,Средний класс,2352.3,69.6,False
 1 Series,2017,14498,Manual,24259,Petrol,145,52.3,1.5,9,Высокое использование,Бюджетные,2695.4,69.1,False
 5 Series,2017,22998,Semi-Auto,19379,Diesel,145,65.7,2.0,9,Высокое использование,Премиум,2153.2,69.9,False
 1 Series,2017,14498,Manual,20790,Diesel,145,70.6,1.5,9,Высокое использование,Бюджетные,2310.0,69.7,False
 5 Series,2019,29898,Semi-Auto,2743,Diesel,145,60.1,2.0,7,В хорошем состоянии,Люкс,391.9,78.6,False
 3 Series,2019,22998,Semi-Auto,6000,Petrol,145,48.7,2.0,7,В хорошем состоянии,Премиум,857.1,78.0,True
 3 Series,2019,29998,Manual,3980,Diesel,145,53.3,2.0,7,В хорошем состоянии,Люкс,568.6,78.4,False
 4 Series,2019,29898,Semi-Auto,101,Diesel,145,60.1,2.0,7,В хорошем состоянии,Люкс,14.4,79.0,False
 5 Series,2017,20498,Semi-Auto,12725,Diesel,145,68.9,2.0,9,Высокое использование,Премиум,1413.9,71.0,False
 3 Series,2019,27650,Semi-Auto,18200,Diesel,150,48.7,2.0,7,В хорошем состоянии,Премиум,2600.0,76.1,False
 Z4,2016,18650,Semi-Auto,25300,Petrol,205,41.5,2.0,10,Высокое использование,Средний класс,2530.0,66.0,False
 4 Series,2018,22995,Automatic,7200,Petrol,145,48.7,2.0,8,Высокое использование,Премиум,900.0,74.8,False
 X6,2018,36995,Semi-Auto,6100,Diesel,145,47.1,3.0,8,Высокое использование,Люкс,762.5,75.0,False
 5 Series,2018,26995,Automatic,6800,Diesel,145,68.9,2.0,8,Высокое использование,Премиум,850.0,74.9,False
 1 Series,2013,11995,Manual,31600,Diesel,125,57.6,2.0,13,Высокое использование,Бюджетные,2430.8,55.9,False
 5 Series,2018,25995,Semi-Auto,8700,Diesel,145,49.6,2.0,8,Высокое использование,Премиум,1087.5,74.6,False
 X6,2016,29995,Automatic,43600,Diesel,200,44.8,3.0,10,Высокое использование,Люкс,4360.0,63.0,False
 3 Series,2018,21495,Semi-Auto,16452,Petrol,150,48.7,2.0,8,Высокое использование,Премиум,2056.5,73.4,False
 5 Series,2017,22998,Automatic,15838,Diesel,145,60.1,2.0,9,Высокое использование,Премиум,1759.8,70.5,False
 5 Series,2019,34498,Automatic,6775,Diesel,145,51.4,3.0,7,В хорошем состоянии,Люкс,967.9,77.9,False
 1 Series,2019,18498,Semi-Auto,11234,Diesel,145,68.9,2.0,7,В хорошем состоянии,Средний класс,1604.9,77.2,False
 7 Series,2019,45898,Semi-Auto,5893,Diesel,145,44.1,3.0,7,В хорошем состоянии,Люкс,841.9,78.1,False
